Series Title,Release Year,Runtime,Genre,Rating,Cast,Synopsis
Will Trent,(2023– ),****,"Crime, Drama",7.7,"Deion Smith, Ramón Rodríguez, Erika Christensen, Iantha Richardson","Special Agent Will Trent was abandoned at birth and endured a harsh coming-of-age in Atlanta's overwhelmed foster care system. Determined to make sure no one feels as he did, he now has the highest clearance rate."
Andor,(2022– ),40 min,"Action, Adventure, Drama",8.4,"Diego Luna, Kyle Soller, Stellan Skarsgård, Genevieve O'Reilly","Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero."
Anne Rice's Mayfair Witches,(2023– ),****,"Fantasy, Horror",6.8,"Alexandra Daddario, Jack Huston, Tongayi Chirisa, Beth Grant",Follows a neurosurgeon who discovers she is the unlikely heir to a family of witches. She must contend with a sinister presence that has haunted her family for generations.
1899,(2022),60 min,"Drama, Mystery",7.4,"Emily Beecham, Aneurin Barnard, Andreas Pietschmann, Miguel Bernardeau",Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.
Happy Valley,(2014–2023),58 min,"Crime, Drama, Thriller",8.5,"Sarah Lancashire, Siobhan Finneran, Charlie Murphy, James Norton",Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.
Breaking Bad,(2008–2013),49 min,"Crime, Drama, Thriller",9.5,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
Stranger Things,(2016– ),51 min,"Drama, Fantasy, Horror",8.7,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
House of the Dragon,(2022– ),****,"Action, Adventure, Drama",8.5,"Rhys Ifans, Matt Smith, Fabien Frankel, Graham McTavish","An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
The Crown,(2016– ),58 min,"Biography, Drama, History",8.7,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.
Criminal Minds,(2005– ),42 min,"Crime, Drama, Mystery",8.1,"Kirsten Vangsness, Matthew Gray Gubler, A.J. Cook, Joe Mantegna",A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.
Severance,(2022– ),55 min,"Drama, Mystery, Sci-Fi",8.7,"Adam Scott, Zach Cherry, Britt Lower, Tramell Tillman","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
Better Call Saul,(2015–2022),46 min,"Crime, Drama",8.9,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Black Snow,(2023– ),52 min,Crime,7.4,"Travis Fimmel, Brooke Satchwell, Kestie Morassi, Talijah Blackman-Corowa","In 1995, seventeen-year-old Isabel Baker was murdered. The crime shocked the small town of Ashford and devastated the Australian South Sea Islander community of Elizabeth."
The Rig,(2022– ),51 min,"Drama, Mystery, Thriller",6.0,"Iain Glen, Emily Hampshire, Martin Compston, Rochenda Sandall",A group of workers on a remote Scottish oil rig are due to return to the mainland when a mysterious fog enshrouds them and supernatural forces take hold.
The Witcher,(2019– ),60 min,"Action, Adventure, Drama",8.1,"Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
The Boys,(2019– ),60 min,"Action, Comedy, Crime",8.7,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
National Treasure: Edge of History,(2022– ),50 min,"Action, Adventure, Mystery",5.0,"Lisette Olivera, Zuri Reed, Catherine Zeta-Jones, Breeda Wool","Jess Valenzuela, a 20-year-old Dreamer, sets off on an exploration to discover the mystery of her family history, and, with the help of her friends, seeks to recover historical lost treasure."
The Glory,(2022– ),50 min,Drama,8.1,"Song Hye-Kyo, Lee Do-Hyun, Ji-Yeon Lim, Aria Song",A woman lives for absolute revenge against her childhood bullies who destroyed her life.
The Office,(2005–2013),22 min,Comedy,9.0,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
Hunters,(2020–2023),60 min,"Crime, Drama, Mystery",7.2,"Al Pacino, Logan Lerman, Lena Olin, Jerrika Hinton","In 1977 New York City, a troubled young Jewish man bent on revenge is taken in by a secret group of Nazi hunters fighting a clandestine war against the cabal of high-ranking Nazi officials in hiding who work to create the Fourth Reich."
The Twilight Zone,(1959–1964),51 min,"Drama, Fantasy, Horror",9.1,"Rod Serling, Robert McCord, Jay Overholts, James Turley","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
Three Pines,(2022– ),54 min,"Crime, Drama, Mystery",7.3,"Alfred Molina, Rossif Sutherland, Elle-Máijá Tailfeathers, Sarah Booth","Following Chief Inspector Armand Gamache as he investigates cases beneath the idyllic surface of the Quebec village, Three Pines, finding long-buried secrets and facing a few ghosts of his own."
The Sopranos,(1999–2007),55 min,"Crime, Drama",9.2,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
The Peripheral,(2022– ),****,"Drama, Mystery, Sci-Fi",7.7,"Chloë Grace Moretz, Gary Carr, Jack Reynor, JJ Feild","Set in the future when technology has subtly altered society, a woman discovers a secret connection to an alternate reality as well as a dark future of her own."
The West Wing,(1999–2006),44 min,Drama,8.9,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer",Inside the lives of staffers in the West Wing of the White House.
Grey's Anatomy,(2005– ),41 min,"Drama, Romance",7.6,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",A drama centered on the personal and professional lives of five surgical interns and their supervisors.
Rise of Empires: Ottoman,(2020–2022),44 min,"Documentary, Drama, History",7.9,"Cem Yigit Uzümoglu, Tuba Büyüküstün, Alp Ilkman, Ushan Çakir",Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.
Peaky Blinders,(2013–2022),60 min,"Crime, Drama",8.8,"Cillian Murphy, Paul Anderson, Sophie Rundle, Helen McCrory","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
Ted Lasso,(2020– ),30 min,"Comedy, Drama, Sport",8.8,"Jason Sudeikis, Brett Goldstein, Brendan Hunt, Nick Mohammed","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
Law & Order: Special Victims Unit,(1999– ),60 min,"Crime, Drama, Mystery",8.1,"Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek","This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes."
Doctor Who,(2005– ),45 min,"Adventure, Drama, Sci-Fi",8.6,"Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
The Lord of the Rings: The Rings of Power,(2022– ),****,"Action, Adventure, Drama",6.9,"Morfydd Clark, Ismael Cruz Cordova, Charlie Vickers, Markella Kavenagh","Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth."
The Bear,(2022– ),30 min,"Comedy, Drama",8.4,"Jeremy Allen White, Ebon Moss-Bachrach, Ayo Edebiri, Lionel Boyce",A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.
Supernatural,(2005–2020),44 min,"Drama, Fantasy, Horror",8.4,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
Succession,(2018– ),60 min,Drama,8.8,"Nicholas Braun, Brian Cox, Kieran Culkin, Peter Friedman","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
Mayor of Kingstown,(2021– ),****,"Crime, Drama, Thriller",8.2,"Jeremy Renner, Dianne Wiest, Hugh Dillon, Tobi Bamtefa","The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan, where the business of incarceration is the only thriving industry."
Friends,(1994–2004),22 min,"Comedy, Romance",8.9,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.
Star Wars: The Bad Batch,(2021– ),****,"Animation, Action, Adventure",7.8,"Ming-Na Wen, Dee Bradley Baker, Michelle Ang, Noshir Dalal",The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.
The Big Bang Theory,(2007–2019),22 min,"Comedy, Romance",8.2,"Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
Las Vegas,(2003–2008),60 min,"Crime, Drama",7.4,"Josh Duhamel, James Caan, James Lesure, Vanessa Marcil","Welcome to the Montecito Resort and Casino in Las Vegas, where you can do anything you want, but Ed Deline and his crack surveillance team will be watching. Just remember: what happens in Vegas stays in Vegas."
The Rookie,(2018– ),43 min,"Action, Crime, Drama",8.0,"Nathan Fillion, Alyssa Diaz, Richard T. Jones, Melissa O'Neil","Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
Rick and Morty,(2013– ),23 min,"Animation, Adventure, Comedy",9.1,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Doom Patrol,(2019– ),60 min,"Action, Adventure, Comedy",7.8,"Diane Guerrero, April Bowlby, Matt Bomer, Brendan Fraser",The adventures of an idealistic mad scientist and his field team of superpowered outcasts.
NCIS: Naval Criminal Investigative Service,(2003– ),60 min,"Action, Crime, Drama",7.8,"David McCallum, Mark Harmon, Sean Murray, Pauley Perrette","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team."
The Sex Lives of College Girls,(2021– ),27 min,Comedy,7.8,"Pauline Chalamet, Amrit Kaur, Reneé Rapp, Alyah Chanelle Scott","Four 18-year-old freshman roommates at Essex College in Vermont. A bundle of contradictions and hormones, these sexually active college girls are equal parts lovable and infuriating."
American Horror Story,(2011– ),60 min,"Drama, Horror, Sci-Fi",8.0,"Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC."
Vikings: Valhalla,(2022– ),51 min,"Action, Adventure, Drama",7.2,"Taylor James, Sam Corlett, Leo Suter, Jóhannes Haukur Jóhannesson","Follow-up series to 'Vikings' set 100 years afterward and centering on the adventures of Leif Erikson, Freydis, Harald Hardrada and the Norman King William the Conqueror."
Bones,(2005–2017),40 min,"Comedy, Crime, Drama",7.8,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
Modern Family,(2009–2020),22 min,"Comedy, Drama, Romance",8.5,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell",Three different but related families face trials and tribulations in their own uniquely comedic ways.
Vikings,(2013–2020),44 min,"Action, Adventure, Drama",8.5,"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean."
The Handmaid's Tale,(2017– ),60 min,"Drama, Sci-Fi, Thriller",8.4,"Elisabeth Moss, Yvonne Strahovski, Ann Dowd, O-T Fagbenle","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
Midsomer Murders,(1997– ),90 min,"Crime, Drama, Mystery",7.9,"John Nettles, Jane Wymark, Barry Jackson, Neil Dudgeon",A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
Reacher,(2022– ),49 min,"Action, Crime, Drama",8.1,"Alan Ritchson, Malcolm Goodwin, Willa Fitzgerald, Hugh Thompson",Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.
Euphoria,(2019– ),55 min,Drama,8.4,"Zendaya, Hunter Schafer, Angus Cloud, Maude Apatow","A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence."
Young Sheldon,(2017– ),30 min,Comedy,7.6,"Iain Armitage, Zoe Perry, Lance Barber, Montana Jordan","Meet a child genius named Sheldon Cooper (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon, who is socially impaired."
True Detective,(2014–2019),55 min,"Crime, Drama, Mystery",8.9,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
Suits,(2011–2019),44 min,"Comedy, Drama",8.5,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
Ghosts,(2021– ),****,"Comedy, Fantasy",7.8,"Rose McIver, Utkarsh Ambudkar, Richie Moriarty, Brandon Scott Jones","A young couple's dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents."
That '90s Show,(2023– ),30 min,"Comedy, Drama, Romance",****,"Kurtwood Smith, Debra Jo Rupp, Callie Haverda, Ashley Aufderheide","Now it's 1995, Leia Forman is visiting her grandparents for the summer where she bonds with a new generation of Point Place, WI, kids under the watchful eye of Kitty and the stern glare of Red."
The Blacklist,(2013– ),43 min,"Crime, Drama, Mystery",8.0,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
Copenhagen Cowboy,(2022–2023),312 min,"Crime, Drama, Thriller",6.7,"Angela Bundalovic, Andreas Lykke Jørgensen, Li Ii Zhang, Jason Hendil-Forssell","A young heroine, Miu, who travels through Copenhagen's criminal netherworld."
It's Always Sunny in Philadelphia,(2005– ),22 min,Comedy,8.8,"Charlie Day, Rob McElhenney, Kaitlin Olson, Glenn Howerton",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
The Mandalorian,(2019– ),40 min,"Action, Adventure, Fantasy",8.7,"Pedro Pascal, Carl Weathers, Giancarlo Esposito, Chris Bartlett","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
Dark,(2017–2020),60 min,"Crime, Drama, Mystery",8.7,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Big Sky,(2020– ),60 min,"Crime, Drama, Mystery",6.8,"Katheryn Winnick, Kylie Bunbury, Dedee Pfeiffer, J. Anthony Pena",A private detective and ex-cop solve crimes in Montana.
Seinfeld,(1989–1998),22 min,Comedy,8.9,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
Death in Paradise,(2011– ),60 min,"Comedy, Crime, Drama",7.8,"Elizabeth Bourgine, Don Warrington, Danny John-Jules, Tobi Bakare",A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.
Black Mirror,(2011–2019),60 min,"Drama, Mystery, Sci-Fi",8.8,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Manifest,(2018– ),43 min,"Drama, Mystery, Sci-Fi",7.1,"Melissa Roxburgh, Josh Dallas, J.R. Ramirez, Luna Blaise","A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds."
Echo 3,(2022– ),49 min,"Action, Drama, Thriller",6.6,"Michiel Huisman, Luke Evans, Jessica Ann Collins, James Udom","When Amber Chesborough goes missing along the Colombia-Venezuela border, her brother and her husband struggle to find her against the backdrop of a secret war."
Chainsaw Man,(2022– ),25 min,"Animation, Action, Adventure",8.6,"Kikunosuke Toya, Ryan Colt Levy, Tomori Kusunoki, Shogo Sakata","Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils."
Stonehouse,(2023),****,"Biography, Comedy, Drama",7.1,"Matthew Macfadyen, Simon Greenall, Kevin McNally, Dorothy Atkinson",A British politician who faked his own death.
You,(2018– ),45 min,"Crime, Drama, Romance",7.7,"Penn Badgley, Victoria Pedretti, Tati Gabrielle, Ambyr Childers","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
Shameless,(2011–2021),46 min,"Comedy, Drama",8.6,"Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White","A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Family Guy,(1999– ),22 min,"Animation, Comedy",8.2,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis","In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another."
New Amsterdam,(2018–2023),43 min,Drama,8.0,"Ryan Eggold, Janet Montgomery, Jocko Sims, Tyler Labine",A new medical director breaks the rules to heal the system at America's oldest public hospital.
Letterkenny,(2016– ),30 min,Comedy,8.7,"Jared Keeso, Nathan Dales, Michelle Mylett, K. Trevor Wilson","Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town."
Guillermo del Toro's Cabinet of Curiosities,(2022– ),60 min,"Drama, Horror, Mystery",7.1,"Lize Johnston, Kevin Keppy, F. Murray Abraham, Kate Micucci","Bizarre nightmares unfold in eight tales of terror in a visually stunning, spine-tingling horror collection curated by Guillermo del Toro."
The Last Kingdom,(2015–2022),60 min,"Action, Drama, History",8.5,"Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Mark Rowley","As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
Dead to Me,(2019–2022),30 min,"Comedy, Crime, Drama",8.0,"Christina Applegate, Linda Cardellini, Sam McCarthy, Luke Roessler",A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.
Step by Step,(1991–1998),30 min,"Comedy, Family, Romance",6.5,"Patrick Duffy, Suzanne Somers, Brandon Call, Staci Keanan","Two families become one, step by step."
The Wire,(2002–2008),59 min,"Crime, Drama, Thriller",9.3,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
Shingeki no Kyojin,(2013–2023),24 min,"Animation, Action, Adventure",9.0,"Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Firefly Lane,(2021–2023),****,"Drama, Romance",7.4,"Katherine Heigl, Sarah Chalke, Ben Lawson, Ali Skovbye",Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their forties.
